wochentag,isferienzh,ferien_desc_zh,isferiensg,ferien_desc_sg,isferiengr,ferien_desc_gr,feiertag_desc,isfeiertag_zh,isfeiertag_sg,isfeiertag_gr,t_2m_c_avg,snow_depth_cm_avg,visibility_m_avg,wind_speed_10m_ms_max,prob_precip_1h_p_avg,prob_tstorm_1h_p_avg,hail_idx_avg,wind_gusts_10m_ms_max,wind_speed_mean_10m_24h_ms_avg,t_max_2m_24h_c_max,t_min_2m_24h_c_min,precip_24h_mm_max,fresh_snow_24h_cm_max,is_sleet_1h_idx_max,is_fog_1h_idx_max,precip_1h_mm_sum,fresh_snow_1h_cm_sum,wind_speed_mean_10m_1h_ms_avg,weather_symbol_1h_idx_spe,number_of_events,schalter,day_count,sin_weekday,cos_weekday,sin_yearday,cos_yearday
3,0,0,1,1,0,0,0,0,0,0,3.375,40.2,30004.25,2.05,1,1,0,2.9,1.8,8.9,-7.9,0,0,0,0,0,0,7.4,4,0,12,185,0.43388373911755823,-0.900968867902419,-0.04302223300453034,-0.99907411510223
4,0,0,1,1,0,0,0,0,0,0,2.375,47.225,30022.25,1.225,1,1,0,2.6,2.5,4.8,-7.4,0,0,0,0,0,0,4.8,0,0,13,186,-0.433883739117558,-0.9009688679024191,-0.060213277365792774,-0.9981855344718586
5,0,0,1,1,0,0,0,0,0,0,-0.4,32.65,23960.25,2.075,1,1,0,4.2,3.1,2.7,-9.7,0,0,0,0,0,0,8.2,2.9,0,13,187,-0.9749279121818235,-0.2225209339563146,-0.07738647923346322,-0.9970011699250151
6,0,0,1,1,0,0,0,0,0,0,-3.3,44.475,30040.25,3.525,1,1,0,10.3,6.9,-0.3,-9.5,0.34,0,0,0,0,0,15.2,0,0,12,188,-0.7818314824680299,0.6234898018587334,-0.09453674981719931,-0.9955213724144752
7,0,0,1,1,0,0,0,0,0,0,-3.8,46.45,16159,6.525,1,1,0,11.8,7.2,3.4,-7.1,0.81,1.1,0,1,0,0,28.6,3.2,0,11,189,-2.4492935982947064e-16,1,-0.11165900712169442,-0.9937465804361781
1,0,0,1,1,0,0,0,0,0,0,-0.425,43.85,19882.75,4.725,4.1,1,0,14.6,3.5,11.2,-5.2,0,0,0,0,0.25,0.4,25.9,0,0,14,190,0.7818314824680297,0.6234898018587336,-0.12874817745258066,-0.99167731989929
2,0,0,1,1,0,0,0,0,0,0,5.425,51.125,30013,2.525,1,1,0,8.5,2.3,9.6,-6.4,0,0,0,0,0,0,9.6,1.5,0,11,191,0.9749279121818236,-0.22252093395631434,-0.14579919691987445,-0.9893142039703664
3,0,0,1,1,0,0,0,0,0,0,4.375,58.875,30009.25,2.325,1,1,0,3.9,2,9.6,-5.6,0,0,0,0,0,0,6.5,1.6,0,29,192,0.43388373911755823,-0.900968867902419,-0.16280701293851646,-0.9866579328916572
4,0,0,1,1,0,0,0,0,0,0,3.125,64.7,29997.25,2.075,1,1,0,2,3,11.5,-15.8,0,0,0,0,0,0,5.3,0,0,21,193,-0.433883739117558,-0.9009688679024191,-0.17976658572556214,-0.9837092937736098
5,0,0,1,1,0,0,0,0,0,0,-0.825,67.925,24539.75,2.475,1,1,0,4.7,3.1,2.2,-11.8,0,0,0,0,0,0,9.1,1.9,0,22,194,-0.9749279121818235,-0.2225209339563146,-0.19667288979357625,-0.9804691603616321
6,0,0,1,1,0,0,21,1,1,1,-4.475,77.125,23333.75,2.1,1,1,0,3.4,4.3,-0.6,-11.2,0.31,0,0,0,0,0,11.6,0,0,35,195,-0.7818314824680299,0.6234898018587334,-0.2135209154397959,-0.9769384927771817
7,0,0,1,1,0,0,22,0,0,1,-4.875,81.1,28863.5,2.85,1,1,0,9.4,5.5,-1.1,-10.7,0.55,0.9,0,0,0,0,14.4,2.3,0,32,196,-2.4492935982947064e-16,1,-0.230305670230612,-0.973118337233262
1,0,0,1,1,0,0,0,0,0,0,-4.975,75.45,28656,4.425,7.325,1,0,8.5,5.9,8.7,-6.2,5.64,5.9,0,0,0.5,0.8,23.4,1.6,0,26,197,0.7818314824680297,0.6234898018587336,-0.2470221804809353,-0.9690098257244063
2,0,0,1,1,0,0,0,0,0,0,5.375,52.45,30021.25,4.225,1,1,0,12.6,2.6,8.5,-6.1,0,0,0,0,0,0,18.8,1.8,0,12,198,0.9749279121818236,-0.22252093395631434,-0.26366549272800727,-0.9646141756912435
3,0,0,1,1,0,0,0,0,0,0,1.875,96.95,30031.5,2.8,1,1,0,6.7,4.5,2.1,-3.5,18.04,24.5,0,0,0,0,14.5,3.2,0,17,199,0.43388373911755823,-0.900968867902419,-0.2802306751992161,-0.9599326896597445
4,0,0,1,1,0,0,0,0,0,0,-0.35,103.675,28974.5,4.075,48.85,1,0,18.4,2.7,0.6,-7,11.35,13.3,0,0,4.01,4.4,21.1,0,0,22,200,-0.433883739117558,-0.9009688679024191,-0.2967128192734901,-0.9549667548552553
5,0,0,1,1,0,0,0,0,0,0,-2.925,72.025,30028.25,2.275,17.225,1,0,11.6,3.7,0.4,-10.4,1.84,2,0,0,2.43,2.1,11.2,0,0,24,201,-0.9749279121818235,-0.2225209339563146,-0.3131070409358267,-0.9497178427914317
6,0,0,1,1,0,0,23,1,1,1,-2.2,71.9,30033.5,3.75,1,1,0,7.4,2.8,2,-12.1,0.08,0,0,0,0.38,0.5,13.8,0.7,0,34,202,-0.7818314824680299,0.6234898018587334,-0.3294084822245302,-0.9441875088341994
7,0,0,1,1,0,0,24,1,1,1,-4.825,65.975,23687.75,3.375,1,1,0,14.6,7.5,-0.3,-8.3,4.56,6.2,0,0,0.04,0,19.6,1.4,0,19,203,-2.4492935982947064e-16,1,-0.3456123126707333,-0.9383773917408642
1,0,0,1,1,0,0,25,1,1,1,-3.075,60,24722.25,5,3.425,16.425,0,17,4.8,9.9,-3.7,0.35,0.6,0,0,0.33,0.4,34.1,0,0,32,204,0.7818314824680297,0.6234898018587336,-0.3617137307297674,-0.9322892131745134
2,0,0,1,1,0,0,0,0,0,0,4.025,63.75,30022.5,2.8,4.075,1,0,18.3,2.1,6.3,-5.2,2.32,0,0,0,0.15,0.4,19.1,4.3,0,45,205,0.9749279121818236,-0.22252093395631434,-0.37770796520396466,-0.9259247771938499
3,0,0,1,1,0,0,0,0,0,0,0.9,69.975,24706.75,2.625,13.6,1,0,5.3,3.1,3.2,-6.6,0,0,0,0,1.26,0,8.5,1.3,0,50,206,0.43388373911755823,-0.900968867902419,-0.3935902766564665,-0.9192859697186105
4,0,0,1,1,0,0,0,0,0,0,-0.8,68.5,30035.25,2.45,1,2.8,0,5.4,4.4,4.2,-4.8,12.48,8,0,0,0,0,10.5,0.9,0,47,207,-0.433883739117558,-0.9009688679024191,-0.40935595881562115,-0.9123747579707274
5,0,0,1,1,0,0,0,0,0,0,2.975,66.325,30023.75,3.675,11.95,1,0,21.6,7.1,6,-7,0,0,0,0,2.36,0,27.1,0,0,42,208,-0.9749279121818235,-0.2225209339563146,-0.42500033996955394,-0.9051931898913975
